Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,Device,DeviceSt, SensorID,Value
2020,7,15,16,27,19,-99.989997,-99.989997,-99.989997,4,1,45,54.85
2020,7,15,16,28,19,-99.989997,-99.989997,-99.989997,4,1,45,68.22
2020,7,15,16,29,19,-99.989997,-99.989997,-99.989997,4,1,45,74.90
2020,7,15,16,30,19,-99.989997,-99.989997,-99.989997,4,1,45,66.06
2020,7,15,16,31,18,-99.989997,-99.989997,-99.989997,4,1,45,65.41
2020,7,15,16,32,19,-99.989997,-99.989997,-99.989997,4,1,45,65.41
2020,7,15,16,33,19,-99.989997,-99.989997,-99.989997,4,1,45,63.25
2020,7,15,16,34,19,-99.989997,-99.989997,-99.989997,4,1,45,56.57
2020,7,15,16,35,19,-99.989997,-99.989997,-99.989997,4,1,45,56.57
2020,7,15,16,36,19,-99.989997,-99.989997,-99.989997,4,1,45,46.22
2020,7,15,16,37,19,-99.989997,-99.989997,-99.989997,4,1,45,48.37
2020,7,15,16,38,18,-99.989997,-99.989997,-99.989997,4,1,45,48.37
2020,7,15,16,39,18,-99.989997,-99.989997,-99.989997,4,1,45,48.37
2020,7,15,16,40,18,-99.989997,-99.989997,-99.989997,4,1,45,49.89
2020,7,15,16,41,19,-99.989997,-99.989997,-99.989997,4,1,45,49.89
2020,7,15,16,42,19,-99.989997,-99.989997,-99.989997,4,1,45,43.20
2020,7,15,16,43,19,-99.989997,-99.989997,-99.989997,4,1,45,38.68
2020,7,15,16,44,19,-99.989997,-99.989997,-99.989997,4,1,45,38.68
2020,7,15,16,45,19,-99.989997,-99.989997,-99.989997,4,1,45,39.33
2020,7,15,16,46,19,-99.989997,-99.989997,-99.989997,4,1,45,39.33
2020,7,15,16,47,18,-99.989997,-99.989997,-99.989997,4,1,45,39.33
2020,7,15,16,48,18,-99.989997,-99.989997,-99.989997,4,1,45,37.17
2020,7,15,16,49,19,-99.989997,-99.989997,-99.989997,4,1,45,39.33
2020,7,15,16,50,19,-99.989997,-99.989997,-99.989997,4,1,45,37.17
2020,7,15,16,51,19,-99.989997,-99.989997,-99.989997,4,1,45,37.17
2020,7,15,16,52,19,-99.989997,-99.989997,-99.989997,4,1,45,30.48
2020,7,15,16,53,19,-99.989997,-99.989997,-99.989997,4,1,45,36.31
2020,7,15,16,54,19,-99.989997,-99.989997,-99.989997,4,1,45,37.82
2020,7,15,16,55,19,-99.989997,-99.989997,-99.989997,4,1,45,41.49
2020,7,15,16,56,19,-99.989997,-99.989997,-99.989997,4,1,45,48.18
2020,7,15,16,57,18,-99.989997,-99.989997,-99.989997,4,1,45,52.70
2020,7,15,16,58,19,-99.989997,-99.989997,-99.989997,4,1,45,49.03
2020,7,15,16,59,19,-99.989997,-99.989997,-99.989997,4,1,45,45.36
2020,7,15,17,0,19,-99.989997,-99.989997,-99.989997,4,1,45,41.69
2020,7,15,17,1,19,-99.989997,-99.989997,-99.989997,4,1,45,37.17
2020,7,15,17,2,19,-99.989997,-99.989997,-99.989997,4,1,45,46.01
2020,7,15,17,3,19,-99.989997,-99.989997,-99.989997,4,1,45,46.01
2020,7,15,17,4,19,-99.989997,-99.989997,-99.989997,4,1,45,49.68
2020,7,15,17,5,18,-99.989997,-99.989997,-99.989997,4,1,45,49.68
2020,7,15,17,6,19,-99.989997,-99.989997,-99.989997,4,1,45,49.68
2020,7,15,17,7,19,-99.989997,-99.989997,-99.989997,4,1,45,56.15
2020,7,15,17,8,19,-99.989997,-99.989997,-99.989997,4,1,45,61.98
2020,7,15,17,9,19,-99.989997,-99.989997,-99.989997,4,1,45,64.14
2020,7,15,17,10,19,-99.989997,-99.989997,-99.989997,4,1,45,69.97
2020,7,15,17,11,19,-99.989997,-99.989997,-99.989997,4,1,45,73.64
2020,7,15,17,12,19,-99.989997,-99.989997,-99.989997,4,1,45,64.15
2020,7,15,17,13,19,-99.989997,-99.989997,-99.989997,4,1,45,59.83
2020,7,15,17,14,18,-99.989997,-99.989997,-99.989997,4,1,45,56.16
2020,7,15,17,15,19,-99.989997,-99.989997,-99.989997,4,1,45,52.49
2020,7,15,17,16,19,-99.989997,-99.989997,-99.989997,4,1,45,48.82
2020,7,15,17,17,19,-99.989997,-99.989997,-99.989997,4,1,45,45.15
2020,7,15,17,18,19,-99.989997,-99.989997,-99.989997,4,1,45,48.82
2020,7,15,17,19,19,-99.989997,-99.989997,-99.989997,4,1,45,46.67
2020,7,15,17,20,19,-99.989997,-99.989997,-99.989997,4,1,45,46.67
2020,7,15,17,21,19,-99.989997,-99.989997,-99.989997,4,1,45,48.18
2020,7,15,17,22,18,-99.989997,-99.989997,-99.989997,4,1,45,48.18
2020,7,15,17,23,19,-99.989997,-99.989997,-99.989997,4,1,45,50.33
2020,7,15,17,24,19,-99.989997,-99.989997,-99.989997,4,1,45,54.00
2020,7,15,17,25,19,-99.989997,-99.989997,-99.989997,4,1,45,57.67
2020,7,15,17,26,19,-99.989997,-99.989997,-99.989997,4,1,45,56.16
2020,7,15,17,27,19,-99.989997,-99.989997,-99.989997,4,1,45,49.48
2020,7,15,17,28,18,-99.989997,-99.989997,-99.989997,4,1,45,51.64
2020,7,15,17,29,18,-99.989997,-99.989997,-99.989997,4,1,45,50.13
2020,7,15,17,30,19,-99.989997,-99.989997,-99.989997,4,1,45,39.77
2020,7,15,17,31,19,-99.989997,-99.989997,-99.989997,4,1,45,35.25
2020,7,15,17,32,19,-99.989997,-99.989997,-99.989997,4,1,45,43.44
2020,7,15,17,33,19,-99.989997,-99.989997,-99.989997,4,1,45,30.08
2020,7,15,17,34,19,-99.989997,-99.989997,-99.989997,4,1,45,33.75
2020,7,15,17,35,19,-99.989997,-99.989997,-99.989997,4,1,45,33.75
2020,7,15,17,36,19,-99.989997,-99.989997,-99.989997,4,1,45,36.11
